Date,BZ=F,EURUSD=X,GBPUSD=X,GC=F,HG=F,NG=F,SI=F,USDIDR=X,^GDAXI,^GSPC,^IXIC,^JKSE
2020-09-15,40.529998779296875,1.187000036239624,1.2849671840667725,1956.300048828125,3.062999963760376,2.361999988555908,27.34600067138672,14983.5,13217.669921875,3401.199951171875,11190.3203125,5100.865234375
2020-09-16,42.220001220703125,1.1844412088394165,1.2884771823883057,1960.199951171875,3.058000087738037,2.2669999599456787,27.354999542236328,14869.599609375,13255.3701171875,3385.489990234375,11050.4697265625,5058.48193359375
2020-09-17,43.29999923706055,1.1803449392318726,1.2959998846054077,1940.0,3.066499948501587,2.0420000553131104,26.985000610351562,14812.5869140625,13208.1201171875,3357.010009765625,10910.2802734375,5038.40087890625
2020-09-18,43.150001525878906,1.1848200559616089,1.2975554466247559,1952.0999755859375,3.1135001182556152,2.0480000972747803,27.027999877929688,14788.0,13116.25,3319.469970703125,10793.2802734375,5059.22314453125
2020-09-21,41.439998626708984,1.1845533847808838,1.2932761907577515,1901.199951171875,3.0295000076293945,1.8350000381469727,24.298999786376953,14728.0,12542.4404296875,3281.06005859375,10778.7998046875,4999.35986328125
2020-09-22,41.720001220703125,1.176800012588501,1.2820513248443604,1898.5999755859375,3.059000015258789,1.8339999914169312,24.441999435424805,14839.2001953125,12594.3896484375,3315.570068359375,10963.6396484375,4934.0927734375
2020-09-23,41.77000045776367,1.1708368062973022,1.2744048833847046,1859.9000244140625,2.993499994277954,2.125,23.013999938964844,14742.5859375,12642.9697265625,3236.919921875,10632.990234375,4917.955078125
2020-09-24,41.939998626708984,1.1658544540405273,1.2717468738555908,1868.300048828125,2.9690001010894775,2.247999906539917,23.118000030517578,14803.9853515625,12606.5703125,3246.590087890625,10672.26953125,4842.755859375
2020-09-25,41.91999816894531,1.1673243045806885,1.2757054567337036,1857.699951171875,2.9730000495910645,2.1389999389648438,23.017000198364258,14839.578125,12469.2001953125,3298.4599609375,10913.5595703125,4945.791015625
2020-09-28,42.43000030517578,1.1635348796844482,1.2766826152801514,1872.800048828125,2.989500045776367,2.1010000705718994,23.527999877929688,14863.0,12870.8701171875,3351.60009765625,11117.5302734375,4906.5478515625
